edge_count,control,size
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
6,True,2
5,True,2
6,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
6,True,2
6,True,2
6,True,2
6,True,2
6,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
6,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
6,True,2
6,True,2
6,True,2
6,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
6,True,2
5,True,2
5,True,2
6,True,2
5,True,2
5,True,2
5,True,2
5,True,2
5,True,2
6,True,2
6,True,2
5,True,2
5,True,2
